x,y,label
1610.6253298153035,7687.833773087072,cardiac muscle myoblast
2776.0,2710.4917582417584,cardiac muscle myoblast
7864.460038986354,1900.3196881091617,cardiac muscle myoblast
3029.260940032415,6491.1410048622365,cardiac endothelial cell
5653.80981595092,2558.217791411043,cardiac muscle myoblast
1999.0055865921788,7408.310055865922,cardiac muscle myoblast
6655.71119133574,2080.8158844765344,cardiac muscle myoblast
1688.8822115384614,6690.084134615385,fibroblast of cardiac tissue
7239.485477178423,1806.8215767634852,cardiac muscle myoblast
2257.751879699248,7434.263157894737,cardiac muscle myoblast
7569.9635974304065,2026.9978586723769,cardiac muscle myoblast
2368.5680272108843,8111.656462585034,cardiac muscle myoblast
4519.820512820513,6016.0,fibroblast of cardiac tissue
2660.0418848167537,2244.4607329842934,cardiac endothelial cell
2920.8041237113403,2627.676975945017,cardiac muscle myoblast
4193.20293398533,3719.61858190709,cardiac muscle myoblast
3893.963087248322,4289.429530201343,cardiac muscle myoblast
4403.381909547738,2309.3643216080404,fibroblast of cardiac tissue
8378.014705882353,5290.776960784314,fibroblast of cardiac tissue
4127.141414141414,1341.0454545454545,cardiac endothelial cell
8254.832817337461,5254.061919504644,fibroblast of cardiac tissue
2284.2258064516127,2404.451612903226,cardiac muscle myoblast
2476.6195652173915,7589.329710144928,cardiac muscle myoblast
3790.809523809524,1704.281746031746,fibroblast of cardiac tissue
4795.661354581674,1222.3027888446215,cardiac muscle myoblast
8222.887530562348,3741.6650366748167,cardiac muscle myoblast
3649.598014888337,6847.426799007444,fibroblast of cardiac tissue
4514.818991097923,1690.860534124629,fibroblast of cardiac tissue
7708.721179624665,5309.319034852547,cardiac muscle myoblast
2914.1744680851066,6806.982978723404,cardiac muscle myoblast
4156.757834757835,8399.646723646723,cardiac muscle myoblast
4199.819711538462,4181.4807692307695,cardiac muscle myoblast
2726.455,6293.43,cardiac muscle myoblast
3387.864583333333,2479.9375,fibroblast of cardiac tissue
2192.38877755511,7299.196392785571,cardiac muscle myoblast
2780.6814814814816,5257.424691358025,cardiac muscle myoblast
2369.644128113879,3186.665480427046,cardiac muscle myoblast
2091.476718403548,6582.310421286031,fibroblast of cardiac tissue
3695.525773195877,3899.974226804124,fibroblast of cardiac tissue
3096.0742574257424,6087.658415841584,cardiac muscle myoblast
4071.4241645244215,5452.642673521851,fibroblast of cardiac tissue
2956.248,3089.56,fibroblast of cardiac tissue
4460.664756446991,3190.0143266475643,fibroblast of cardiac tissue
6556.553571428572,2706.279761904762,cardiac muscle myoblast
1689.672340425532,2938.8808510638296,fibroblast of cardiac tissue
2717.1354166666665,2731.4791666666665,immature innate lymphoid cell
2323.9623529411765,6621.609411764706,cardiac muscle myoblast
3983.635991820041,3916.5153374233128,cardiac muscle myoblast
1811.2631578947369,6562.771255060728,cardiac muscle myoblast
4159.008219178082,8305.605479452055,fibroblast of cardiac tissue
2536.080745341615,7371.944099378882,cardiac endothelial cell
3795.7277777777776,4067.783333333333,fibroblast of cardiac tissue
2574.606779661017,7274.013559322034,cardiac muscle myoblast
5861.19801980198,8126.306930693069,fibroblast of cardiac tissue
4462.462555066079,4893.933920704846,cardiac muscle myoblast
1790.9192546583852,3042.9596273291927,fibroblast of cardiac tissue
3004.68253968254,8144.885714285714,cardiac muscle myoblast
1605.323113207547,4468.198113207547,native cell
1843.688524590164,3678.229508196721,cardiac muscle myoblast
6297.428977272727,3249.0823863636365,cardiac muscle myoblast
2535.6090534979426,7625.810699588477,cardiac endothelial cell
3154.031598513011,5971.050185873606,cardiac muscle myoblast
7224.136563876652,4934.651982378855,fibroblast of cardiac tissue
8232.770642201835,2697.006116207951,cardiac endothelial cell
7624.036363636364,6456.836363636364,fibroblast of cardiac tissue
2119.187265917603,6514.056179775281,fibroblast of cardiac tissue
3083.801652892562,6134.223140495868,cardiac muscle myoblast
1965.78125,3652.086805555556,fibroblast of cardiac tissue
4004.1959798994976,4227.768844221106,cardiac muscle myoblast
1854.4813559322035,6378.779661016949,native cell
2776.845878136201,6629.039426523297,fibroblast of cardiac tissue
2212.562310030395,8087.908814589666,cardiac muscle myoblast
3627.274428274429,3106.862785862786,cardiac muscle myoblast
1723.7620967741937,7713.975806451613,cardiac muscle myoblast
3483.936046511628,2226.688953488372,cardiac muscle myoblast
4198.64406779661,8142.869249394673,fibroblast of cardiac tissue
1290.9619047619049,4286.507936507936,fibroblast of cardiac tissue
3440.460465116279,4044.195348837209,fibroblast of cardiac tissue
2868.0669456066944,6456.640167364017,cardiac muscle myoblast
7311.69436997319,4852.640750670242,cardiac muscle myoblast
4343.383419689119,2382.357512953368,cardiac muscle myoblast
2457.412408759124,6506.543795620438,cardiac muscle myoblast
2491.8202614379084,2183.705882352941,cardiac muscle myoblast
6323.329710144928,2830.557971014493,cardiac muscle myoblast
5678.38,2710.175,fibroblast of cardiac tissue
